"code","label"
"DnK","Konfirmert i 1986, ellers usynlig medlem"
"DnK","Sier 'jeg er ikke religiøs men medlem av kirka'"
"DnK","Stiller opp i kirka kun til jul og 17. mai"
"DnK","Dåp, konfirmasjon, bryllup, begravelse — fullpakka kunde"
"DnK","Mente å melde seg ut etter Brennpunkt, glemte det"
"DnK","Sender 100-lapp til Bymisjonen i adventstida og tenker det får telle"
"DnK","Klikket aldri 'meld meg ut' på Den norske kirke-sida"
"DnK","Stille DnK-medlem som alle andre i bygda"
"KAT","Polsk arv, har rosenkrans i baklomma"
"KAT","Konvertert i 2014, går sjelden i messe"
"KAT","Mor er polsk, derfor er jeg det også"
"KAT","Tar Maria-andakt på telefon hver kveld før hun sovner"
"KAT","Bekjenner litt for ofte — presten begynner å se sliten ut"
"ANN_KRIS","Pinsemenighet — taler i tunger på menighetsweekenden"
"ANN_KRIS","Adventist — gjør ingenting på lørdager"
"ANN_KRIS","Jehovas vitne — banker på dører om lørdagen"
"ANN_KRIS","Frikirka, full pakke"
"ANN_KRIS","Ortodoks (russisk), feirer julen 7. januar"
"ANN_KRIS","Eritreisk-ortodoks, går i kirken på Furuset"
"ISL","Praktiserende, ber fem ganger om dagen"
"ISL","Faster i ramadan, drikker kaffe ellers"
"ISL","Kulturell muslim, spiser bacon i smug"
"ISL","Halal hjemme, pølse på Narvesen i lunsjen"
"ISL","Eid-feiring som høydepunkt — resten av året vanlig livet"
"ISL","Bærer hijab på fest, ikke på jobb (eller motsatt)"
"HUM","Konfirmert humanist og ganske fornøyd"
"HUM","Sender penger til Human-Etisk hver november"
"HUM","Argumenterer mot DnK på Facebook hver desember"
"HUM","Bestilt Vampus-mug fra Human-Etisk og har den på kontoret"
"HUM","Mener bestemt vitenskap er svaret, men jamrer over kvantefysikken"
"BUD","Mediterer 20 min hver morgen — mister det rundt mai"
"BUD","Liker å ha Buddha-statuer i hagen"
"BUD","Yoga-lærer som sier 'namaste' før første kaffe"
"BUD","Vipassana-retreat hver høst — snakker om det resten av året"
"BUD","Fant fred på et retreat på Koh Samui i 2018"
"HIN","Tamiltradisjon, tenner lysene på Diwali"
"HIN","Hindu i navnet, agnostiker i praksis"
"HIN","Pilegrimsreise til Varanasi i 2019 — fortsatt fortalt om"
"HIN","Møter på templet i Drammen til Holi, ellers nei"
"JOD","Liten norsk-jødisk familie, holder pesach hvert år"
"JOD","Praktiserende konservativ — aktiv i Mosaisk Trossamfunn"
"JOD","Holder shabbat når foreldrene besøker, ikke ellers"
"ANN","Pastafarianer — bærer pastasil i passbildet"
"ANN","Åsatru — feirer blot på vinteren"
"ANN","Praktiserende wicca"
"ANN","Følger en Substack om stoisisme og mener seg religiøs"
"ANN","Bahai — har vært på Lotus-tempelet i Delhi, viser bilder"
"ANN","Identifiserer seg som 'spirituell ikke religiøs'"
"ANN","Scientolog (sier det ikke høyt på jobb)"
"INGEN","Var konfirmant, kalla seg ateist resten av livet"
"INGEN","'Tror på noe der ute' og lar det være med det"
"INGEN","Tror på krystaller og månefaser"
"INGEN","Sterk sekulær — kjenner seg igjen i Bjørn Eidsvåg-tekster"
"INGEN","Meldte seg ut på prinsipp og fikk skattelette"
"INGEN","Aldri vært døpt — foreldrene var Frp-tilhengere"
"INGEN","Mener Richard Dawkins er litt for mye"
"INGEN","Antitheist på X — atheist i bursdager"
"INGEN","Spiritualist på Instagram, agnostiker i virkeligheten"
"INGEN","Tror på vitenskap og litt mindfulness"
